 varietyname, experimentalnum, regdate, previousname
SY985,"HY 985, O153020-16",8/2/2011,
GRIFFON,"SQB004, BW871, B0009-XV3D",9/8/2011,
CDC VR MORRIS,BW423,1/4/2012,
CDC PLENTIFUL,PT580,1/4/2012,
ENCHANT,"HY694, 05W1436 (will be used for varietal blend)",1/26/2012,
TOPAZE,BS05-173,3/7/2012,
TÉMIS,BS06-236,3/19/2012,
YORKTON,"07SW04, W04018",4/23/2012,
KLÉOS,BS06-139,5/2/2012,
SY 433,"BW 433, 02S2009-2",5/22/2012,
WHITEHAWK,"HW024, 02V29-BV4E",5/22/2012,
AAC BAILEY,"BW901, B0203-KE02B",6/7/2012,
AAC REDWATER,"PT457, 02B08-CE1C",8/13/2012,
AAC ICEBERG,"HW021, 00V22-BC1C",1/15/2013,
AAC PROCLAIM,"GP80, SWS416",1/10/2013,
AAC CHIFFON,"SWS408, 389-S76",4/12/2013,
AAC INNOVA,"GP47, 07EB14",4/12/2013,
AAC BRANDON,"BW932, B0313-CK03Z",4/23/2013,
AAC ELIE,"BW931, B0313-CK03W",4/23/2013,
AAC RYLEY,"HY1312, C0302-GB26E",4/23/2013,
AAC SCOTIA,"AW625, 01-81-1",4/26/2013,
5605HR CL,"BW918, 03S2057-1",6/17/2013,
AAC WHITEFOX,"HW027, 04V15B-BP5E",6/18/2013,
CDC PRIMEPURPLE,"GP062, PIG98027",11/13/2013,
CDC WHITEWOOD,"HW612, HW07038",11/13/2013,
AAC PREVAIL,"BW462, BD112A*B0496 (tested as the varietal blend)",1/13/2014,
CDC TITANIUM,"PT584, W07188",1/13/2014,
WFT 603,"WFT 603, GP 119, Y05-02-L11-S3",1/13/2014,
COLEMAN,"PT765, Entry 7 Parkland B 2009, 0518*F4SSD43",2/5/2014,
ROCKET,06SW319.03,2/20/2014,
POKONA,08SW08,2/20/2014,
MOKA,06SW321.111,2/20/2014,
BANGOR,05SW328.127,3/5/2014,
AAC PENHOLD,"HY1319, CO401-HH45E",7/11/2014,
AAC NRG097,"GP097, C0503-HY*02",7/24/2014,
THORSBY,"BW947, 09BA0120, 0527*F4SSD50",8/21/2014,
SY995,HY995,9/8/2014,
SY087,GP087,9/8/2014,
AAC  W1876,"BW957,  B0418-JB41A",9/30/2014,
AAC FORAY,HY1610,12/18/2014,
AAC CRUSADER,HY 1603,12/18/2014,
AAC TENACIOUS,HY1615,12/18/2014,
AAC INDUS,"SWS427, 10B-22, 09A-512",3/6/2015,
RGT Presidio,SYNG5308B,3/13/2015,
GO EARLY,"PT769, Entry 11 Parkland B 2010, 0423*f6MBK20",3/13/2015,
DAKOSTA,"CFB1010, C1M13004",3/27/2015,
AAC CAMERON,"BW485, G0439-3-NPNB-15-N",3/27/2015,
AAC JATHARIA,"BW483, BD110B-POR-215-C-8-1-PNB-13-N",5/1/2015,
CDC BRADWELL,"BW472, W09419",5/1/2015,
AAC CONNERY,"PT245, B0664, AQ028",5/20/2015,
PARATA,"PT772, Entry 10 Parkland B 2011, UAW0601*F6MBK013",6/11/2015,
AAC TRADITION,"BW487, BC07B-ORG-NZ-12-UUU-01-N",6/11/2015,
AAC CROSSFIELD,"HY 1632, EPWB317",1/8/2016,
AAC ENTICE,"HY 1627, EPWB-318",1/8/2016,
AAC PARAMOUNT,"SWS433, 11B-17, 10A-421",1/8/2016,
SY479 VB,BW 479,2/12/2016,
SY637,PT637,2/12/2016,
AAC VIEWFIELD,"BW965, B0763, AA016",2/12/2016,
AAC CONCORD,"BW963, B0501-AL04D",2/19/2016,
AAC REDBERRY,"BW966, B0763, AB044",2/19/2016,
CDC Landmark,"BW971, W10091",4/8/2016,
CDC KINLEY,"HW616, HW09107",4/8/2016,
CDC Hughes,"PT588, W10096",4/29/2016,
SY SLATE,"BW496, 05S2145-30",6/10/2016,
AAC Synox,"BS10-104, 07-GU-436",6/10/2016,Synox
ELGIN ND,"SD 13-1, 2014-11",6/10/2016,
CDC THROTTLE,"GP131, HY03.06.058",6/24/2016,
Dagon,"CM9019, CFB1015, C1M14022",6/30/2016,
CDC TERRAIN,"HY537, HY04.27.070",7/8/2016,
SY Rowyn,"HY2013, 03S0253-7",7/8/2016,
AAC AWESOME,"GP151, 12B09",7/8/2016,
Toundra,07SW419.05,7/8/2016,
EASTON,CM9004,8/26/2016,
MEMPHRE,BS10-757,10/14/2016,
ZEALAND,"BW986, Entry 15 Parkland B 2012, UAW 0848*F4MBK006",11/10/2016,
SY SOVITE,"BW1011, 08S2133-18",12/9/2016,
AAC FAIRWIND,"AW725, 05-175-3",2/24/2017,
DS206HRS,"DASN0004, SW206-005",4/13/2017,
Ventry,"SW257-059, DASN0030, NC14D-003, SC16-002HRS (Secan)",4/13/2017,
CDC ADAMANT,"BW488, W10083",4/21/2017,
SPARROW,"CPBT W142, 2014-2, 3702-5044",4/28/2017,
AAC TISDALE,"PT250, B0608-ER04B",8/18/2017,
AAC GOODWIN,"BW968, B0767, AG075",8/25/2017,
AAC Alida,"BW980,B0867&AK049",11/10/2017,
SY Chert,"BW5005, 09S2116-22",12/15/2017,
SY Obsidian,"BW5007, 09S2033-17",12/15/2017,
Minot,"BS10-422, C1M16149",1/5/2018,
Maida,"BS10-759, C1M17174",1/5/2018,
Aube,BS12-429,2/23/2018,
AAC Cirrus,"HW388, H0815-EL03",2/23/2018,
AAC Warman,"BW1025, BG48A0-3-3-16",3/16/2018,
Prosper,"ND 808, HY 2016",4/6/2018,
FALLER,"ND 805, HY 2015",4/6/2018,
ALDERON,"W185, 3702-4044",5/4/2018,
Raven,ACS12638,5/18/2018,Banner
AAC LEROY,"BW1049, BH11A-NP-162-NPNG-13-N",6/22/2018,
AAC MAGNET,"BW 1045, BJ14*A0135",6/22/2018,
AAC Castle,"HY2021, 11W3497",8/17/2018,
AAC Wheatland,BW5013,9/21/2018,
CDC Cordon CLPlus,"HY2003, PT589, IR10072",11/9/2018,
AAC Starbuck,BW5011,11/9/2018,
Jake,"PT782, UAW1002 * F6MBK05, Entry 9 Parkland B 2015",11/23/2018,
Ellerslie,"PT784, UAW113 * 008, Entry 13 Parkland B 2014",11/23/2018,
Rednet,"PT783, UAW1149 * 064, Entry 19 Parkland B 2014",11/23/2018,
Tracker,"PT785, UAW1133 * 009, Entry 14 Parkland B 2014",11/23/2018,
Agora,14SW04 (W09457),12/14/2018,
Alaska,07SW443.01,12/14/2018,
SY Gabbro,"BW1041, 10S2098-10",1/18/2019,
SY Torach,"PT650, 09S2059-20",1/18/2019,
Lemieux,BS13-134,2/8/2019,
AAC Harlaka,09SW196.09,3/15/2019,
Sheba,"NH004, UAW1133 * 080, Entry 30 B 2014",3/22/2019,
Bolles,2015-10,4/18/2019,
WPB Whistler,WPB 10SW010-06,4/18/2019,
CDC Ortona,"PT596, W12760",6/21/2019,
CDC UltraPrime Purple,"GP190, PIG13006",7/12/2019,
AAC Maurice,"CRGB-11C.0205, 12AAC-0205, F6 AB-1415.***B1B1A F8",7/12/2019,
Accelerate,LNR14-1299/HY2077,7/26/2019,
Daybreak,LNR13-0601/BW5056,7/26/2019,
AAC Russell,"PT252, B0921-CX03B",9/27/2019,
