E,SD,WR,FA,MI,FP,TL,PC,S_n,s_mean,s_sd
"2018 KILDARE, OK",293,0,1,0,0,0,WHE,100,2.358123739,0.422407263
"2018 KINGFISHER, OK",276,0,0,0,0,1,WHE,131,0.691848437,0.245209352
"2018 LAHOMA, OK",284,0,0,0,0,1,WHE,204,2.137874652,0.626226228
"2018 LAHOMA, OK",NA,0,1,0,0,1,NA,204,2.084480531,0.671283663
"2018 LAMAR, CO",264,0,0,0,0,NA,NA,168,4.555793064,0.506455141
"2018 LAMONT, OK",292,0,0,0,0,1,ALF,140,1.87448362,0.423907603
"2018 LARNED, KS",287,0,0,0,0,NA,FAL,192,5.319323022,0.434089682
"2018 LORRAINE, KS",290,0,0,0,0,NA,FAL,145,4.445762122,0.466194712
"2018 LORRAINE, KS",290,0,1,1,0,NA,FAL,143,4.909368372,0.4972838
"2018 MANHATTAN, KS",303,0,0,0,0,NA,FAL,108,3.127243518,0.333141418
"2018 MARSHALL, OK",290,0,0,0,0,1,WHE,112,2.444693294,0.328465685
"2018 MARSHALL, OK",NA,0,0,0,1,1,NA,79,0.924740153,0.283398065
"2018 MAYFIELD, KS",NA,0,0,0,0,NA,NA,120,3.15208426,0.589308794
"2018 MCPHERSON, KS",292,0,0,0,0,NA,FAL,159,3.718734271,0.494226836
"2018 MCPHERSON, KS",292,0,1,1,0,NA,FAL,159,3.776418689,0.508831283
"2018 MULLINVILLE, KS",284,0,0,0,0,NA,FAL,192,3.624646464,0.492299309
"2018 NEWTON, KS",NA,0,0,0,0,NA,NA,114,3.270084856,0.427933609
"2018 ORCHARD, CO",261,0,0,0,0,NA,NA,168,3.43993179,0.533446942
"2018 OTTAWA, KS",305,0,0,0,0,NA,FAL,92,2.582429257,0.342946221
"2018 PARSONS, KS",305,0,0,0,0,NA,FAL,92,3.474110888,0.480694824
"2018 SHERIDAN LAKE, CO",263,0,0,0,0,NA,NA,168,3.715494604,0.616321929
"2018 THOMAS, OK",292,0,0,0,0,1,WHE,131,1.139822482,0.423280774
"2018 TRIBUNE, KS",285,0,0,0,0,NA,FAL,200,4.372046728,0.422855838
"2018 UNION CITY, OK",NA,0,0,0,1,1,NA,94,1.123474366,0.434781776
"2018 WALSH, CO",285,0,0,0,0,NA,NA,164,2.546541572,0.456166123
"2018 WALTERS, OK",NA,0,0,0,1,0,NA,104,3.98966039,0.714286695
"2018 YUMA, CO",279,0,0,0,0,NA,NA,167,4.659061165,0.662441047
