"Region","YOR","G","BLUP"
"Alberta",2019,"RUSSELL",3.92472562021429
"Manitoba",2013,"RYLEY",3.99572231174395
"Alberta",2013,"RYLEY",3.99572231174395
"Manitoba",2007,"SADASH",4.73547390132943
"Alberta",2007,"SADASH",4.73547390132943
"Manitoba",2009,"SHAW",3.84700644418335
"Alberta",2009,"SHAW",3.84700644418335
"Alberta",2019,"SHEBA",3.64509096695962
"Manitoba",2020,"SHELLY",4.0072906949321
"Manitoba",2021,"SILAS",3.84976127887379
"Alberta",2021,"SILAS",3.84976127887379
"Manitoba",2020,"SKRUSH",3.87121013594294
"Alberta",2020,"SKRUSH",3.87121013594294
"Manitoba",2016,"SLATE",3.7483324310363
"Alberta",2016,"SLATE",3.7483324310363
"Manitoba",2004,"SNOWBIRD",3.59983406139263
"Alberta",2004,"SNOWBIRD",3.59983406139263
"Manitoba",2009,"SNOWSTAR",3.6479530843394
"Alberta",2009,"SNOWSTAR",3.6479530843394
"Manitoba",2016,"SOVITE",3.56522159330305
"Alberta",2016,"SOVITE",3.56522159330305
"Alberta",2017,"SPARROW",4.55023337050007
"Alberta",1997,"SPLENDOR",3.36418136443504
"Manitoba",2010,"STANLEY",3.84558361187115
"Alberta",2010,"STANLEY",3.84558361187115
"Manitoba",2018,"STARBUCK",3.93382592752389
"Alberta",2018,"STARBUCK",3.93382592752389
"Manitoba",2008,"STETTLER",3.73387688114937
"Alberta",2008,"STETTLER",3.73387688114937
"Manitoba",2021,"SUCCESSIONCLPLUS",3.78686458721059
"Alberta",2021,"SUCCESSIONCLPLUS",3.78686458721059
"Alberta",2001,"SUPERB",3.98765888777898
"Manitoba",2014,"SY087",4.0451735724512
"Alberta",2014,"SY087",4.0451735724512
"Manitoba",2012,"SY433",3.52541834915933
"Alberta",2012,"SY433",3.52541834915933
"Manitoba",2016,"SY479",3.45801174380906
"Alberta",2016,"SY479",3.45801174380906
"Manitoba",2016,"SY637",3.47696001556428
"Alberta",2016,"SY637",3.47696001556428
"Manitoba",2011,"SY985",3.94496101366406
"Alberta",2011,"SY985",3.94496101366406
"Manitoba",2014,"SY995",3.98184047608659
"Alberta",2014,"SY995",3.98184047608659
"Alberta",1991,"TABER",4.02446589958431
"Manitoba",2014,"TENACIOUS",3.69689238289737
"Alberta",2014,"TENACIOUS",3.69689238289737
"Manitoba",2016,"TERRAIN",4.03711582016694
"Alberta",2016,"TERRAIN",4.03711582016694
"Manitoba",2014,"THORSBY",3.57579774775975
"Alberta",2014,"THORSBY",3.57579774775975
"Manitoba",2010,"THRIVE",3.64669265591359
"Alberta",2010,"THRIVE",3.64669265591359
"Manitoba",2017,"TISDALE",3.73293889215017
"Alberta",2017,"TISDALE",3.73293889215017
"Manitoba",2014,"TITANIUM",3.66902900637686
"Alberta",2014,"TITANIUM",3.66902900637686
"Manitoba",2020,"TOMKINS",3.57652708471646
"Alberta",2020,"TOMKINS",3.57652708471646
"Manitoba",2019,"TORACH",3.75692651425204
"Alberta",2019,"TORACH",3.75692651425204
"Alberta",2018,"TRACKER",3.63693385315991
"Manitoba",2015,"TRADITION",3.68920606511771
"Manitoba",2007,"UNITY",3.9252760786795
"Alberta",2007,"UNITY",3.9252760786795
"Manitoba",2010,"UTMOST",3.85272661904854
"Alberta",2010,"UTMOST",3.85272661904854
"Manitoba",2010,"VESPER",3.79839142912428
"Alberta",2010,"VESPER",3.79839142912428
"Manitoba",2016,"VIEWFIELD",3.96340583159896
"Alberta",2016,"VIEWFIELD",3.96340583159896
"Alberta",1999,"VISTA",4.04791976664956
"Manitoba",2014,"W1876",3.5120422365555
"Manitoba",2018,"WARMAN",3.69828697325355
"Alberta",2018,"WARMAN",3.69828697325355
"Manitoba",2007,"WASKADA",3.6662263920116
"Alberta",2007,"WASKADA",3.6662263920116
"Alberta",2021,"WESTLOCK",4.07300009786457
"Manitoba",2014,"WFT603",4.07064057886787
"Manitoba",2018,"WHEATLAND",3.96767094720284
"Alberta",2018,"WHEATLAND",3.96767094720284
"Manitoba",2013,"WHITEFOX",3.71502198671114
"Manitoba",2012,"WHITEHAWK",3.35244779262392
"Alberta",2012,"WHITEHAWK",3.35244779262392
"Manitoba",2021,"WHITEHEAD",4.02741859149639
"Alberta",2021,"WHITEHEAD",4.02741859149639
"Manitoba",2013,"WHITEWOOD",3.50906191696215
"Alberta",2013,"WHITEWOOD",3.50906191696215
"Manitoba",2019,"WPBWHISTLER",4.40908446139707
"Alberta",2019,"WPBWHISTLER",4.40908446139707
"Manitoba",2009,"WR859CL",3.71633803849473
"Alberta",2009,"WR859CL",3.71633803849473
"Central Great Plains",2012,"1863",3.44109766731309
"Central Great Plains",1995,"2137",3.29317957735679
"Central Great Plains",2001,"2145",3.28519738357445
"Central Great Plains",1989,"2163",2.97905083398856
"Central Great Plains",1997,"2174",3.22493346251406
"Central Great Plains",2001,"ABOVE",3.41803500612387
"Central Great Plains",2014,"AG GALLANT",3.61114848930538
"Central Great Plains",2019,"AG ICON",3.74750450568449
"Central Great Plains",1992,"AG ROBUST",3.59717891517605
"Central Great Plains",1989,"AGSECO 7853",3.08273325027815
"Central Great Plains",1994,"AKRON",3.28451550419813
"Central Great Plains",1993,"ALLIANCE",3.3767803406318
"Central Great Plains",2020,"AM CARTWRIGHT",3.61620530895578
"Central Great Plains",2017,"AM EASTWOOD",3.46028585415601
"Central Great Plains",2021,"AMPLIFY SF",3.66915334596158
"Central Great Plains",2002,"ANKOR",3.34284919795303
"Central Great Plains",2012,"ANTERO",4.10810377384412
"Central Great Plains",2022,"AP BIGFOOT",3.5891045928222
"Central Great Plains",2020,"AP ROADRUNNER",3.83293312203715
"Central Great Plains",2001,"AP502 CL",3.25307228943398
"Central Great Plains",2008,"ARMOUR",3.33298935862257
"Central Great Plains",2006,"ART",3.41613934831059
"Central Great Plains",2006,"ASPEN",3.62644518603208
"Central Great Plains",2001,"AVALANCHE",3.40632508697069
"Central Great Plains",2015,"AVERY",3.75884047077055
"Central Great Plains",2018,"BAKER S ANN",3.58419926025958
"Central Great Plains",2011,"BEARPAW",3.01307179170869
"Central Great Plains",2015,"BENTLEY",3.83876444758096
"Central Great Plains",1998,"BETTY",3.16599740635153
"Central Great Plains",2020,"BIG COUNTRY",3.60456353200384
"Central Great Plains",2007,"BILL BROWN",3.62011013380822
"Central Great Plains",2009,"BILLINGS",3.35124323186228
"Central Great Plains",2017,"BOB DOLE",3.82025215141261
"Central Great Plains",2004,"BOND CL",3.53316434658461
"Central Great Plains",2011,"BRAWL CL PLUS",3.55756170412861
"Central Great Plains",2020,"BREAKTHROUGH",3.58574987694525
"Central Great Plains",2017,"BRECK",3.84167648504753
"Central Great Plains",2011,"BYRD",3.68231377388685
"Central Great Plains",2018,"BYRD CL PLUS",3.75081772196442
"Central Great Plains",2008,"CAMELOT",3.47662659936067
"Central Great Plains",2018,"CANVAS",3.94216156697019
"Central Great Plains",2006,"CENTERFIELD",3.23222554742162
"Central Great Plains",1983,"CHISHOLM",3.19463622334537
"Central Great Plains",2010,"CJ",3.27872161845371
"Central Great Plains",2011,"CLARA CL",3.55793021118626
"Central Great Plains",1994,"CORONADO",3.22083037525921
"Central Great Plains",1998,"COSSACK",3.34755701521425
"Central Great Plains",2011,"COWBOY",3.6974813913412
"Central Great Plains",2020,"CP7017AX",3.95506589235318
"Central Great Plains",2020,"CP7050AX",3.63661210910999
"Central Great Plains",2017,"CP7869",3.83692637494065
"Central Great Plains",2018,"CRESCENT AX",3.76282400856981
"Central Great Plains",1994,"CUSTER",3.12059206306469
"Central Great Plains",2001,"CUTTER",3.44518581953576
"Central Great Plains",2005,"DANBY",3.4156011988808
"Central Great Plains",2004,"DELIVER",3.18969118909583
"Central Great Plains",2011,"DENALI",3.65154383992284
"Central Great Plains",2006,"DOANS",3.31813831057961
